# start	end	date	part	region	text
1769	1769	1769	8	europe	james watt patents a much more efficient steam engine
1773	1773	1773	8	north america	colonists dump british tea into boston harbor, the boston tea party
1776	1776	1776	8	north america	the thirteen colonies declare independence from britain
1776	1776	1776	8	europe	adam smith publishes the wealth of nations
1781	1781	1781	8	north america	british forces surrender at yorktown
1787	1787	1787	8	north america	the united states constitution is written in philadelphia
1788	1788	1788	8	oceania	the british "first fleet" arrives at sydney; the colonization of australia begins
1789	1789	1789	8	europe	the french revolution begins; a crowd storms the bastille and the declaration of the rights of man is issued
1791	1804	1791–1804	8	mesoamerica and the caribbean	the haitian revolution: enslaved people in saint-domingue rise up and create the free nation of haiti
1792	1792	1792	8	europe	mary wollstonecraft publishes a vindication of the rights of woman
1793	1793	1793	8	europe	louis xvi is executed; the reign of terror begins
1796	1796	1796	8	europe	edward jenner shows that cowpox can protect people against smallpox, the first vaccine
1799	1799	1799	8	europe	napoleon bonaparte seizes power in france; he crowns himself emperor in 1804
1804	1804	1804	8	europe	the napoleonic code sets out equal civil law for all french men
1807	1807	1807	8	europe	britain bans the atlantic slave trade
1810	1821	1810–1821	8	mesoamerica and the caribbean	mexico fights for and wins independence from spain, after the call to revolt by miguel hidalgo
1812	1812	1812	8	europe	napoleon's invasion of russia ends in disaster
1815	1815	1815	8	europe	napoleon is defeated at waterloo; the congress of vienna redraws europe
1815	1815	1815	8	southeast asia	mount tambora in indonesia erupts; the next year is the "year without a summer"
1816	1816	c. 1816	8	africa	shaka builds the zulu kingdom into a powerful military state in southern africa
1819	1819	1819	8	south america	simón bolívar wins the battle of boyacá, freeing new granada (colombia)
1821	1821	1821	8	europe	the greek war of independence against the ottomans begins
1822	1822	1822	8	south america	brazil declares independence from portugal
1825	1825	1825	8	europe	the stockton and darlington railway opens in england, the first public steam railway
1833	1833	1833	8	europe	britain passes the slavery abolition act, ending slavery in most of its empire
1838	1838	1838	8	north america	the cherokee are forced from their lands on the trail of tears; thousands die
1839	1842	1839–1842	8	east asia	the first opium war: britain defeats china and takes hong kong
1840	1840	1840	8	oceania	the treaty of waitangi is signed between the british crown and māori chiefs in new zealand
1844	1844	1844	8	north america	samuel morse sends a telegraph message from washington to baltimore
1845	1852	1845–1852	8	europe	the great famine in ireland: about a million die and a million emigrate
1848	1848	1848	8	europe	revolutions break out across europe; marx and engels publish the communist manifesto
1848	1848	1848	8	north america	the seneca falls convention demands equal rights for women, including the vote
1850	1864	1850–1864	9	east asia	the taiping rebellion in china, one of the deadliest wars in history, kills perhaps 20 to 30 million people
1851	1851	1851	9	europe	the great exhibition in london's crystal palace shows off the machines of the industrial age
1853	1853	1853	9	east asia	american warships under commodore perry force japan to open to trade
1857	1857	1857	9	south asia	a great rebellion against the east india company spreads across northern india
1858	1858	1858	9	south asia	the british crown takes direct control of india, beginning the raj
1859	1859	1859	9	europe	charles darwin publishes on the origin of species
1861	1861	1861	9	europe	the kingdom of italy is proclaimed; russia frees its serfs
1861	1865	1861–1865	9	north america	the american civil war; around 700,000 soldiers die
1863	1863	1863	9	north america	abraham lincoln issues the emancipation proclamation
1865	1865	1865	9	north america	the thirteenth amendment abolishes slavery in the united states; lincoln is assassinated
1867	1867	1867	9	europe	karl marx publishes the first volume of das kapital
1868	1868	1868	9	east asia	the meiji restoration begins japan's rapid modernization
1869	1869	1869	9	africa	the suez canal opens, linking the mediterranean and the red sea
1869	1869	1869	9	north america	the first transcontinental railroad across the united states is completed
1869	1869	1869	9	europe	dmitri mendeleev publishes the periodic table of the elements
1871	1871	1871	9	europe	germany is unified under prussia; wilhelm i is proclaimed emperor
1876	1876	1876	9	north america	alexander graham bell patents the telephone
1879	1879	1879	9	north america	thomas edison's team demonstrates a long-lasting electric light bulb
1882	1882	1882	9	europe	robert koch identifies the germ that causes tuberculosis
1884	1885	1884–1885	9	africa	at the berlin conference, european powers set rules for dividing africa; no africans are present
1885	1908	1885–1908	9	africa	the congo free state, run by king leopold ii of belgium, forces people to harvest rubber; millions die
1886	1886	1886	9	europe	karl benz patents a gasoline-powered automobile
1888	1888	1888	9	south america	brazil becomes the last country in the americas to abolish slavery
1893	1893	1893	9	oceania	new zealand becomes the first self-governing country to give women the vote
1895	1895	1895	9	europe	wilhelm röntgen discovers x-rays; the lumière brothers show the first public films
1896	1896	1896	9	africa	ethiopia defeats an invading italian army at the battle of adwa and stays independent
1898	1898	1898	9	mesoamerica and the caribbean	the spanish-american war: the united states takes puerto rico, guam, and the philippines
1899	1902	1899–1902	9	africa	the second boer war in south africa; the british use concentration camps
1900	1900	1900	9	east asia	the boxer rebellion against foreigners in china is crushed by eight foreign powers
1903	1903	1903	9	north america	the wright brothers make the first powered airplane flights
1903	1903	1903	9	europe	marie curie shares the nobel prize in physics for research on radioactivity
1904	1905	1904–1905	9	east asia	japan defeats russia in the russo-japanese war
1904	1908	1904–1908	9	africa	german colonial forces carry out genocide against the herero and nama in southwest africa (namibia)
1905	1905	1905	9	europe	albert einstein publishes special relativity and his work on light quanta
1908	1908	1908	9	north america	ford begins making the model t, soon on a moving assembly line
1910	1920	1910–1920	9	mesoamerica and the caribbean	the mexican revolution overthrows porfirio díaz
1911	1912	1911–1912	9	east asia	the xinhai revolution ends the qing dynasty and more than 2,000 years of imperial rule in china
1914	1914	1914	9	mesoamerica and the caribbean	the panama canal opens
1914	1914	1914	10	europe	archduke franz ferdinand is assassinated in sarajevo; within weeks the great powers are at war
1914	1918	1914–1918	10	the whole world	the first world war: about 20 million soldiers and civilians die
1915	1915	1915	10	the middle east	allied troops land at gallipoli but fail to knock the ottoman empire out of the war
1915	1917	1915–1917	10	the middle east	the ottoman government carries out the armenian genocide, killing around a million armenians
1916	1916	1916	10	europe	the battles of verdun and the somme cause over a million casualties each
1917	1917	1917	10	europe	the russian revolution: the tsar falls, then the bolsheviks under lenin seize power
1917	1917	1917	10	north america	the united states enters the war against germany
1918	1918	1918	10	europe	the armistice ends the fighting on 11 november
1918	1920	1918–1920	10	the whole world	an influenza pandemic kills an estimated 50 million people
1919	1919	1919	10	europe	the treaty of versailles punishes germany; the league of nations is created
1920	1920	1920	10	north america	the nineteenth amendment gives american women the vote
1922	1922	1922	10	europe	the soviet union is formed; mussolini's fascists march on rome and take power
1923	1923	1923	10	the middle east	mustafa kemal atatürk founds the republic of turkey
1928	1928	1928	10	europe	alexander fleming discovers penicillin, the first antibiotic
1929	1929	1929	10	north america	the wall street crash starts the great depression
1930	1930	1930	10	south asia	gandhi leads the salt march against british rule
1931	1931	1931	10	east asia	japan invades manchuria
1932	1933	1932–1933	10	europe	famine caused by stalin's policies kills millions in ukraine (the holodomor) and kazakhstan
1933	1933	1933	10	europe	adolf hitler becomes chancellor of germany and quickly makes himself dictator
1933	1933	1933	10	north america	franklin d. roosevelt begins the new deal
1935	1936	1935–1936	10	africa	fascist italy invades and occupies ethiopia, using poison gas
1936	1939	1936–1939	10	europe	the spanish civil war ends with franco's nationalists in power
1937	1937	1937	10	east asia	japan launches full-scale war on china; japanese troops massacre civilians at nanjing
1938	1938	1938	10	europe	germany annexes austria; britain and france let hitler take part of czechoslovakia at munich; the kristallnacht pogrom
1939	1939	1939	10	europe	germany invades poland; britain and france declare war
1939	1945	1939–1945	10	the whole world	the second world war: an estimated 70 to 85 million people die, most of them civilians
1940	1940	1940	10	europe	germany conquers france; britain wins the battle of britain in the air
1941	1941	1941	10	europe	germany invades the soviet union
1941	1941	1941	10	north america	japan attacks pearl harbor; the united states enters the war
1941	1945	1941–1945	10	europe	the holocaust: nazi germany murders six million jews, as well as roma, disabled people, and others
1942	1942	1942	10	oceania	the united states defeats japan at the battle of midway
1942	1943	1942–1943	10	europe	the soviets destroy a german army at stalingrad
1944	1944	1944	10	europe	d-day: allied forces land in normandy
1945	1945	1945	10	europe	soviet troops liberate auschwitz; hitler kills himself; germany surrenders in may
1945	1945	1945	10	east asia	the united states drops atomic bombs on hiroshima and nagasaki; japan surrenders
1945	1945	1945	11	the whole world	the united nations is founded
1947	1947	1947	11	south asia	india and pakistan become independent; the partition displaces up to 15 million people and kills hundreds of thousands
1948	1948	1948	11	the middle east	the state of israel is founded; the first arab-israeli war follows and about 700,000 palestinians flee or are expelled
1948	1948	1948	11	the whole world	the un adopts the universal declaration of human rights
1948	1948	1948	11	africa	south africa's government begins the system of apartheid
1948	1949	1948–1949	11	europe	the berlin airlift supplies west berlin during a soviet blockade
1949	1949	1949	11	east asia	mao zedong proclaims the people's republic of china
1949	1949	1949	11	europe	nato is founded; the soviet union tests its first atomic bomb
1950	1953	1950–1953	11	east asia	the korean war ends in a stalemate along the 38th parallel
1953	1953	1953	11	europe	the work of watson, crick, franklin, and wilkins reveals the double helix structure of dna
1954	1954	1954	11	north america	the supreme court rules school segregation unconstitutional in brown v. board of education
1955	1956	1955–1956	11	north america	the montgomery bus boycott, sparked by rosa parks
1955	1975	1955–1975	11	southeast asia	the vietnam war
1957	1957	1957	11	the universe	the soviet union launches sputnik 1, the first artificial satellite
1957	1957	1957	11	africa	ghana becomes the first sub-saharan african colony to win independence
1958	1962	1958–1962	11	east asia	mao's great leap forward causes a famine that kills tens of millions
1960	1960	1960	11	africa	the "year of africa": seventeen african countries become independent
1961	1961	1961	11	the universe	yuri gagarin becomes the first human in space
1961	1961	1961	11	europe	the berlin wall is built
1962	1962	1962	11	mesoamerica and the caribbean	the cuban missile crisis brings the world close to nuclear war
1962	1962	1962	11	africa	algeria wins independence from france after an eight-year war
1963	1963	1963	11	north america	martin luther king jr. gives his "i have a dream" speech at the march on washington
1964	1964	1964	11	north america	the civil rights act bans segregation and discrimination in the united states
1966	1976	1966–1976	11	east asia	mao's cultural revolution brings persecution and chaos to china
1968	1968	1968	11	north america	martin luther king jr. is assassinated
1969	1969	1969	11	the universe	apollo 11: neil armstrong and buzz aldrin walk on the moon
1969	1969	1969	11	north america	arpanet, the forerunner of the internet, sends its first message
1971	1971	1971	11	south asia	bangladesh wins independence from pakistan after a brutal war
1973	1973	1973	11	the middle east	an arab oil embargo causes a worldwide energy crisis
1977	1977	1977	11	north america	mass-market personal computers go on sale
1978	1978	1978	11	east asia	deng xiaoping begins opening china's economy to markets
1979	1979	1979	11	the middle east	the iranian revolution creates an islamic republic
1979	1989	1979–1989	11	central asia	the soviet war in afghanistan
1980	1980	1980	11	the whole world	the world health organization declares smallpox eradicated
1986	1986	1986	11	europe	the chernobyl nuclear disaster in soviet ukraine
1989	1989	1989	11	europe	the berlin wall falls as communist governments collapse across eastern europe
1989	1989	1989	11	east asia	the chinese army crushes protests in and around tiananmen square
1989	1989	1989	11	europe	tim berners-lee proposes the world wide web at cern; it goes public in 1991
1991	1991	1991	11	europe	the soviet union dissolves into fifteen countries; the cold war is over
1994	1994	1994	11	africa	nelson mandela becomes president of south africa in its first all-race election
1994	1994	1994	11	africa	the rwandan genocide: about 800,000 people, mostly tutsi, are murdered in about 100 days
2001	2001	2001	11	north america	al-qaeda terrorists attack new york and washington on 11 september, killing nearly 3,000 people
2001	2021	2001–2021	11	central asia	the united states and allies fight a war in afghanistan
2003	2003	2003	11	the middle east	a us-led coalition invades iraq
2003	2003	2003	11	the whole world	the human genome project finishes reading human dna
2007	2007	2007	11	north america	modern touchscreen smartphones arrive and soon spread across the world
2008	2008	2008	11	the whole world	a global financial crisis triggers the worst recession since the 1930s
2011	2011	2011	11	the middle east	the arab spring uprisings; syria descends into civil war
2015	2015	2015	11	the whole world	nearly every country signs the paris agreement to limit global warming
2020	2023	2020–2023	11	the whole world	the covid-19 pandemic kills millions and shuts down much of the world
2022	2022	2022	11	europe	russia launches a full-scale invasion of ukraine
2022	2022	2022	11	the whole world	the world's population passes 8 billion; ai chat programs become widely used
2024	2024	2024	11	the whole world	the hottest year on record so far, and the first calendar year more than 1.5 degrees above pre-industrial levels
